city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity
Mexico City,2020-11-03,245,36.6,54.5,27.7,59.4,10.9,39,10,Urban,101
Delhi,2020-11-04,418,19.0,22.5,43.7,45.8,27.0,80,3,Urban,1418
Delhi,2020-11-05,55,29.4,69.2,24.2,24.3,22.9,57,1,Suburban,1726
Beijing,2020-11-06,402,33.3,46.8,30.6,53.8,-3.0,29,8,Urban,1257
Beijing,2020-11-07,299,4.8,79.1,38.0,52.4,10.5,54,0,Urban,1194
Delhi,2020-11-08,96,38.4,84.1,35.2,43.7,26.2,82,7,Urban,952
Beijing,2020-11-09,337,32.3,0.4,28.4,31.7,27.7,60,11,Rural,390
Beijing,2020-11-10,348,11.7,22.8,20.6,10.4,-4.5,61,0,Urban,539
Beijing,2020-11-11,123,26.0,43.0,16.5,30.8,-2.4,88,5,Suburban,1137
Beijing,2020-11-12,483,46.4,56.9,21.3,39.5,15.8,69,8,Urban,707
Mexico City,2020-11-13,333,29.5,77.4,10.6,45.1,17.8,83,9,Suburban,592
Delhi,2020-11-14,75,34.8,75.5,30.3,56.8,17.1,50,10,Urban,1393
Tokyo,2020-11-15,497,38.7,40.1,32.7,63.1,24.4,57,8,Urban,1066
Tokyo,2020-11-16,404,6.3,41.4,28.9,50.7,38.9,62,12,Urban,751
Beijing,2020-11-17,241,55.9,38.1,13.0,44.1,31.3,77,15,Suburban,1918
Beijing,2020-11-18,446,41.5,29.2,46.9,41.4,10.0,83,7,Urban,72
Beijing,2020-11-19,156,40.8,16.0,32.5,20.6,29.3,35,8,Urban,1689
London,2020-11-20,100,44.3,39.5,58.6,40.0,14.1,93,7,Urban,752
Mexico City,2020-11-21,85,33.4,54.5,16.8,36.1,19.2,63,14,Suburban,538
London,2020-11-22,350,34.4,74.0,37.7,22.2,5.8,59,9,Urban,766
Beijing,2020-11-23,98,68.8,39.2,32.9,36.7,4.5,32,8,Urban,447
Mexico City,2020-11-24,111,13.1,44.6,34.6,30.5,23.6,84,5,Suburban,1178
Delhi,2020-11-25,113,43.9,72.3,26.9,51.2,26.1,33,9,Suburban,1388
Los Angeles,2020-11-26,308,19.1,58.4,59.6,40.5,32.5,73,5,Suburban,369
Delhi,2020-11-27,180,55.7,49.2,24.6,27.9,30.4,76,15,Suburban,1666
Mexico City,2020-11-28,215,36.1,26.8,25.9,21.9,36.8,62,3,Urban,257
London,2020-11-29,12,13.8,57.5,18.1,26.7,15.9,89,1,Rural,1486
Delhi,2020-11-30,219,42.8,56.3,44.0,26.7,0.7,76,12,Suburban,876
Mexico City,2020-12-01,238,50.8,46.6,21.8,24.6,-1.4,28,10,Urban,984
Delhi,2020-12-02,63,40.0,48.9,36.7,22.1,33.3,48,13,Suburban,596
Los Angeles,2020-12-03,443,48.1,18.7,40.4,47.9,39.8,44,7,Urban,793
Delhi,2020-12-04,479,56.3,34.7,29.2,43.1,37.4,26,5,Urban,1969
Tokyo,2020-12-05,233,46.7,97.3,31.6,32.2,25.7,75,9,Urban,376
Delhi,2020-12-06,13,28.5,59.3,32.8,29.4,26.1,21,14,Rural,1292
Cairo,2020-12-07,254,55.3,56.4,29.0,43.4,-1.2,52,13,Suburban,335
London,2020-12-08,38,41.9,69.6,40.2,42.9,27.0,50,10,Suburban,1353
Mexico City,2020-12-09,285,27.6,46.4,27.4,36.2,36.9,79,4,Urban,1722
Los Angeles,2020-12-10,113,41.6,61.8,33.2,46.9,3.9,32,10,Urban,1748
Los Angeles,2020-12-11,487,41.0,65.1,36.8,33.2,-4.6,54,10,Urban,795
Tokyo,2020-12-12,252,37.0,89.7,47.5,28.5,14.0,81,7,Urban,1544
Delhi,2020-12-13,145,14.9,43.0,33.1,42.3,32.2,73,5,Suburban,774
Mexico City,2020-12-14,317,52.9,68.5,34.4,40.3,23.8,93,19,Urban,414
Delhi,2020-12-15,479,46.3,45.8,24.1,45.8,18.1,29,11,Suburban,1351
Mexico City,2020-12-16,109,26.1,31.1,34.9,45.5,15.2,86,10,Suburban,862
Delhi,2020-12-17,381,42.6,58.0,35.8,39.5,2.5,22,11,Urban,393
Mexico City,2020-12-18,459,40.1,89.5,9.1,42.8,15.1,81,14,Urban,1975
Mexico City,2020-12-19,221,11.7,36.4,22.3,59.2,-3.7,48,4,Urban,177
Beijing,2020-12-20,464,33.8,49.8,22.4,32.7,18.0,34,11,Urban,435
Beijing,2020-12-21,421,39.8,62.3,31.4,37.0,8.3,85,3,Suburban,725
Los Angeles,2020-12-22,259,59.8,55.8,32.2,53.2,12.7,20,13,Urban,460
Los Angeles,2020-12-23,477,36.4,74.4,7.8,46.2,33.2,82,8,Urban,163
Beijing,2020-12-24,88,60.5,37.4,41.4,29.1,0.8,25,10,Urban,1989
Mexico City,2020-12-25,469,31.0,29.6,28.8,45.2,9.7,51,8,Urban,756
Tokyo,2020-12-26,153,31.9,70.5,23.0,28.1,6.1,29,12,Suburban,1086
Delhi,2020-12-27,225,10.5,52.6,21.4,33.5,10.6,28,2,Urban,650
Delhi,2020-12-28,149,34.3,36.1,40.5,56.3,21.6,76,13,Urban,603
Delhi,2020-12-29,454,29.3,91.3,34.9,44.7,24.3,36,10,Urban,1329
Mexico City,2020-12-30,143,26.8,50.4,29.5,33.2,18.8,77,8,Suburban,1470
Beijing,2020-12-31,351,27.4,66.3,26.7,38.8,10.2,24,9,Suburban,697
Los Angeles,2021-01-01,263,20.9,49.7,5.6,27.8,7.7,88,6,Urban,565
Mexico City,2021-01-02,38,21.6,43.2,28.6,30.2,-1.1,32,6,Rural,338
Beijing,2021-01-03,382,35.3,28.1,23.4,18.4,27.7,84,0,Suburban,727
Tokyo,2021-01-04,18,44.5,63.2,21.5,44.0,21.9,93,14,Urban,488
Los Angeles,2021-01-05,90,55.8,48.5,21.6,14.5,4.9,21,14,Urban,1055
Delhi,2021-01-06,199,40.8,45.4,34.1,7.9,12.8,63,6,Suburban,1357
Beijing,2021-01-07,218,11.4,52.5,37.7,51.9,11.2,88,6,Suburban,1080
Beijing,2021-01-08,322,39.8,53.0,15.1,38.4,20.9,64,4,Urban,1551
Delhi,2021-01-09,30,55.0,49.1,11.8,27.3,5.5,41,7,Rural,1137
Delhi,2021-01-10,447,39.4,49.0,38.6,37.7,-1.1,47,2,Urban,247
Tokyo,2021-01-11,23,53.4,50.6,24.7,65.8,-3.3,58,9,Urban,1728
Beijing,2021-01-12,18,30.2,65.9,35.2,36.4,7.2,55,13,Suburban,1348
Beijing,2021-01-13,369,26.5,54.7,42.5,28.0,19.1,20,4,Urban,474
Los Angeles,2021-01-14,135,27.1,15.6,33.4,23.1,0.7,34,4,Urban,1299
Mexico City,2021-01-15,123,42.9,47.5,35.8,58.5,30.9,20,6,Suburban,296
Tokyo,2021-01-16,373,21.5,57.0,43.6,47.7,16.3,34,10,Rural,668
Los Angeles,2021-01-17,302,30.6,69.0,26.1,50.6,13.4,43,12,Urban,584
Beijing,2021-01-18,181,41.0,50.1,25.8,35.1,8.5,24,7,Suburban,1848
Beijing,2021-01-19,157,55.2,78.3,19.4,57.1,4.2,39,10,Suburban,428
São Paulo,2021-01-20,301,22.5,20.2,46.9,52.5,2.5,45,5,Rural,1604
Los Angeles,2021-01-21,430,56.4,39.6,32.5,22.7,3.9,67,12,Urban,1800
Cairo,2021-01-22,199,57.4,59.8,39.8,50.2,10.3,59,8,Urban,556
Delhi,2021-01-23,215,19.1,14.4,16.6,43.3,18.7,88,6,Urban,1675
London,2021-01-24,103,28.0,35.7,41.7,44.9,28.0,47,5,Suburban,1501
Mexico City,2021-01-25,265,26.6,45.8,38.2,36.3,8.3,81,8,Urban,1022
Delhi,2021-01-26,30,20.2,47.0,33.6,34.7,1.2,58,14,Urban,1038
Mexico City,2021-01-27,406,38.9,70.8,42.5,37.5,10.4,82,11,Urban,281
Mexico City,2021-01-28,268,48.0,62.0,48.4,27.1,4.4,26,10,Urban,1324
Delhi,2021-01-29,144,36.1,43.8,30.5,48.7,38.2,34,6,Urban,961
Beijing,2021-01-30,92,34.3,15.5,34.8,35.2,-2.4,73,6,Urban,1167
London,2021-01-31,132,59.1,38.0,42.2,37.8,-3.2,81,13,Urban,248
Delhi,2021-02-01,34,27.4,57.6,29.1,41.5,5.5,57,6,Urban,506
Beijing,2021-02-02,477,37.1,53.4,33.6,47.2,28.5,32,4,Suburban,781
Beijing,2021-02-03,154,33.6,50.2,23.7,44.4,29.9,67,7,Urban,940
Beijing,2021-02-04,461,24.5,68.7,36.6,21.4,-0.9,89,9,Urban,593
Tokyo,2021-02-05,463,23.2,69.1,40.2,36.8,3.8,72,13,Suburban,1922
Los Angeles,2021-02-06,7,39.8,60.6,28.7,51.1,39.4,47,8,Suburban,1600
Delhi,2021-02-07,280,59.2,86.1,31.9,61.8,-2.0,60,16,Suburban,614
São Paulo,2021-02-08,396,41.8,21.6,47.9,64.2,-3.7,34,10,Urban,942
London,2021-02-09,119,19.8,42.8,35.5,60.0,11.6,70,9,Urban,605
Delhi,2021-02-10,489,24.7,22.0,20.5,53.0,23.3,43,8,Urban,1259
London,2021-02-11,309,38.0,68.9,28.4,38.8,28.6,33,12,Rural,255
Delhi,2021-02-12,392,25.3,49.9,22.6,33.9,7.3,84,8,Suburban,172
São Paulo,2021-02-13,385,40.1,40.0,21.1,57.8,18.5,83,8,Suburban,1467
Mexico City,2021-02-14,70,43.3,49.7,15.7,40.1,24.2,28,9,Urban,1283
Mexico City,2021-02-15,425,29.7,22.3,18.6,37.6,-0.9,62,15,Urban,1119
Delhi,2021-02-16,60,1.9,84.7,28.4,55.7,15.3,68,1,Urban,673
Tokyo,2021-02-17,495,34.5,71.9,34.0,30.9,36.5,21,6,Urban,695
Delhi,2021-02-18,314,50.0,4.5,20.5,44.2,33.1,30,6,Urban,966
Delhi,2021-02-19,308,41.2,63.9,29.5,26.7,37.0,53,3,Urban,767
Delhi,2021-02-20,475,58.5,48.0,34.8,50.9,25.6,43,12,Suburban,1778
Los Angeles,2021-02-21,216,46.7,52.8,42.1,52.8,28.3,48,8,Urban,482
Delhi,2021-02-22,249,27.7,68.5,29.6,48.4,30.9,75,10,Rural,1785
Tokyo,2021-02-23,339,26.7,40.3,36.6,28.8,38.6,31,6,Rural,686
Mexico City,2021-02-24,111,31.0,76.9,38.6,38.8,37.3,33,11,Urban,769
Delhi,2021-02-25,55,29.2,33.3,28.1,41.4,34.1,69,6,Suburban,1698
Delhi,2021-02-26,490,38.0,39.4,26.3,49.4,-4.1,66,10,Suburban,1332
Delhi,2021-02-27,368,17.8,64.9,27.8,51.0,20.5,62,13,Suburban,1052
Mexico City,2021-02-28,285,24.1,65.8,25.3,59.4,25.1,54,7,Rural,1762
London,2021-03-01,139,30.4,17.0,38.2,34.5,17.0,77,9,Urban,130
Delhi,2021-03-02,399,35.3,57.6,38.9,35.1,24.2,64,12,Urban,784
London,2021-03-03,333,46.9,65.3,39.6,22.6,-0.5,25,9,Urban,571
Delhi,2021-03-04,215,28.2,53.6,19.1,46.0,35.4,59,11,Urban,1110
London,2021-03-05,232,3.1,28.7,19.2,46.9,11.4,22,1,Urban,1248
Tokyo,2021-03-06,473,49.9,59.6,38.9,43.4,3.8,39,7,Suburban,1102
Los Angeles,2021-03-07,126,31.1,12.2,38.7,30.8,5.1,37,6,Urban,1324
Mexico City,2021-03-08,37,31.7,45.5,39.0,33.8,34.9,34,6,Urban,504
London,2021-03-09,384,46.6,42.1,13.9,39.8,12.7,44,16,Urban,1523
Delhi,2021-03-10,112,51.5,30.1,29.4,23.8,14.7,53,4,Suburban,1462
Delhi,2021-03-11,438,41.3,51.2,22.2,34.8,0.0,50,9,Suburban,494
Delhi,2021-03-12,298,35.4,45.1,36.5,36.8,14.8,56,10,Urban,1640
Beijing,2021-03-13,285,31.3,70.9,24.9,51.6,38.3,25,14,Urban,711
Los Angeles,2021-03-14,121,19.6,19.6,27.2,44.6,38.0,70,11,Urban,870
Mexico City,2021-03-15,419,38.9,59.7,24.2,41.6,20.1,24,3,Suburban,767
London,2021-03-16,384,17.4,44.1,41.8,19.4,-5.0,56,5,Suburban,841
Delhi,2021-03-17,419,34.4,87.5,32.2,28.9,10.1,30,10,Urban,1471
Los Angeles,2021-03-18,267,63.5,10.1,18.1,11.7,26.3,35,9,Urban,1618
Delhi,2021-03-19,121,13.8,35.3,44.6,44.1,-2.2,29,4,Urban,1835
Delhi,2021-03-20,285,41.3,42.9,37.5,17.2,27.7,83,5,Urban,354
Los Angeles,2021-03-21,304,29.1,22.7,45.5,42.8,20.7,29,8,Urban,1051
São Paulo,2021-03-22,97,23.6,45.7,23.6,32.9,3.5,36,6,Urban,712
Mexico City,2021-03-23,496,27.8,66.7,42.1,61.7,2.5,90,10,Suburban,1112
Delhi,2021-03-24,206,36.7,53.6,35.7,50.0,1.8,65,8,Suburban,1242
Mexico City,2021-03-25,57,69.7,62.4,18.6,39.6,26.2,88,9,Urban,665
Delhi,2021-03-26,382,47.3,43.5,24.9,43.9,1.3,55,9,Suburban,418
Tokyo,2021-03-27,323,44.4,43.3,19.2,29.6,7.7,34,14,Urban,408
Los Angeles,2021-03-28,30,27.2,11.8,28.7,46.7,5.3,61,11,Urban,804
Delhi,2021-03-29,183,19.1,38.0,30.8,51.0,-1.7,76,11,Urban,1320
Delhi,2021-03-30,50,23.9,59.7,36.5,37.5,32.7,81,2,Urban,979
Delhi,2021-03-31,193,53.7,48.0,42.3,35.6,2.1,65,6,Urban,939
São Paulo,2021-04-01,26,27.3,84.7,13.3,16.7,2.8,59,1,Urban,469
Beijing,2021-04-02,30,38.7,53.4,21.6,70.3,35.9,28,14,Rural,1237
Los Angeles,2021-04-03,408,35.7,85.4,28.9,22.3,4.9,61,10,Suburban,1553
Mexico City,2021-04-04,140,37.3,45.8,32.0,48.0,20.9,46,6,Urban,1716
Mexico City,2021-04-05,366,33.5,50.3,36.2,42.6,34.1,22,8,Urban,1309
Delhi,2021-04-06,427,42.7,50.2,31.0,20.4,1.6,56,15,Urban,319
Tokyo,2021-04-07,342,24.0,49.8,13.3,44.3,31.8,76,8,Urban,1159
Beijing,2021-04-08,29,44.6,48.2,25.3,33.9,6.0,92,16,Urban,745
Mexico City,2021-04-09,410,65.4,49.9,30.1,37.0,16.6,32,21,Suburban,1821
Mexico City,2021-04-10,153,35.6,49.4,15.5,23.1,14.7,39,3,Urban,1030
Mexico City,2021-04-11,337,30.2,80.0,34.4,50.5,3.5,41,9,Urban,1565
Tokyo,2021-04-12,493,32.8,18.8,44.2,56.2,28.8,31,6,Urban,1499
Delhi,2021-04-13,27,46.5,20.7,46.3,30.0,23.5,85,8,Suburban,865
Beijing,2021-04-14,72,17.2,68.6,28.0,35.8,15.0,50,5,Urban,1194
Beijing,2021-04-15,417,53.5,65.3,40.2,24.8,35.3,47,15,Urban,313
Beijing,2021-04-16,381,36.8,32.7,54.7,34.8,22.8,82,3,Suburban,1202
Delhi,2021-04-17,470,40.7,47.5,27.1,31.5,11.3,27,5,Suburban,1068
Delhi,2021-04-18,497,33.7,35.5,34.7,40.9,14.8,50,6,Suburban,581
Delhi,2021-04-19,35,35.2,22.4,41.6,39.4,8.8,81,6,Urban,1651
Beijing,2021-04-20,444,21.6,56.9,27.8,36.8,29.5,61,6,Urban,1827
Beijing,2021-04-21,99,21.6,46.0,32.9,32.1,36.8,45,9,Urban,223
Mexico City,2021-04-22,427,16.4,57.5,47.8,35.5,-4.0,78,5,Urban,749
Mexico City,2021-04-23,315,13.9,51.5,37.5,48.3,-2.6,43,4,Urban,1051
Beijing,2021-04-24,498,53.6,120.6,22.7,12.4,35.3,83,12,Rural,1536
Beijing,2021-04-25,490,32.8,71.5,21.6,34.7,33.6,20,11,Urban,1848
Delhi,2021-04-26,136,40.8,68.1,19.0,27.9,32.1,57,9,Urban,1635
Mexico City,2021-04-27,260,41.1,87.2,49.2,42.6,31.4,59,13,Urban,256
Beijing,2021-04-28,480,37.1,50.7,29.4,39.5,30.5,74,13,Suburban,61
Delhi,2021-04-29,388,46.0,82.0,26.5,49.7,24.6,36,14,Urban,879
Beijing,2021-04-30,270,55.2,56.4,33.0,44.6,14.4,31,9,Urban,934
Beijing,2021-05-01,357,37.0,52.8,42.5,48.2,31.1,64,10,Urban,209
Delhi,2021-05-02,53,25.0,72.6,38.0,34.9,1.6,33,10,Urban,242
Mexico City,2021-05-03,362,53.1,40.7,36.7,43.1,16.1,59,12,Urban,1569
Mexico City,2021-05-04,432,13.4,58.4,40.4,42.8,7.9,75,7,Suburban,640
Los Angeles,2021-05-05,218,44.9,30.1,31.3,40.7,7.5,85,10,Urban,1319
Mexico City,2021-05-06,65,37.3,89.0,15.0,30.5,17.1,63,6,Urban,665
Mexico City,2021-05-07,49,44.7,76.2,17.9,46.5,4.6,67,14,Suburban,388
Beijing,2021-05-08,88,18.9,28.9,44.5,50.0,-1.0,83,9,Rural,339
Los Angeles,2021-05-09,292,45.3,23.0,34.6,31.6,16.8,34,10,Suburban,1613
Beijing,2021-05-10,0,30.5,80.6,14.6,28.5,12.3,32,4,Urban,236
Beijing,2021-05-11,499,26.9,5.3,38.2,37.4,9.2,81,2,Urban,521
Mexico City,2021-05-12,188,58.3,91.2,13.8,24.3,-4.6,69,8,Suburban,907
Beijing,2021-05-13,245,50.4,52.2,34.8,45.1,39.7,21,13,Urban,258
Beijing,2021-05-14,208,42.0,51.0,27.3,48.3,39.7,85,9,Suburban,1576
Los Angeles,2021-05-15,345,39.4,44.4,18.0,33.3,31.5,66,5,Suburban,1969
Tokyo,2021-05-16,129,22.8,48.8,40.0,47.9,27.3,52,7,Urban,681
Tokyo,2021-05-17,432,23.8,68.9,26.0,40.8,31.3,82,7,Suburban,486
Beijing,2021-05-18,410,43.1,37.6,34.0,52.4,4.0,87,13,Urban,1725
Beijing,2021-05-19,379,17.7,56.9,36.3,49.7,33.6,78,6,Urban,594
Los Angeles,2021-05-20,440,51.6,71.6,29.4,27.3,1.8,94,16,Rural,647
Beijing,2021-05-21,380,53.7,33.8,25.3,26.7,24.5,90,8,Rural,1383
London,2021-05-22,147,51.0,60.5,21.7,42.8,-1.7,54,10,Urban,873
Beijing,2021-05-23,337,44.3,40.5,19.8,28.8,6.0,79,10,Suburban,320
Delhi,2021-05-24,259,21.9,80.1,24.9,32.9,-3.6,62,11,Suburban,830
Delhi,2021-05-25,342,21.3,30.1,3.6,35.9,37.2,86,6,Urban,157
London,2021-05-26,470,54.7,76.4,40.5,50.9,-3.8,61,11,Urban,1854
Delhi,2021-05-27,38,40.8,42.8,26.7,33.3,22.7,57,7,Urban,425
Delhi,2021-05-28,90,46.2,63.9,19.4,54.1,20.2,47,12,Urban,813
Beijing,2021-05-29,473,54.1,19.0,48.6,40.4,28.5,27,13,Suburban,1493
Delhi,2021-05-30,109,65.8,25.6,32.4,49.6,-2.0,67,7,Urban,863
Beijing,2021-05-31,244,23.0,33.6,45.4,37.3,6.3,31,9,Urban,399
Los Angeles,2021-06-01,188,54.2,19.6,57.0,33.8,29.9,54,14,Urban,369
Delhi,2021-06-02,414,10.5,10.7,32.2,47.4,35.1,52,8,Urban,768
London,2021-06-03,120,30.4,69.9,21.1,42.3,5.3,46,5,Urban,1967
London,2021-06-04,77,17.3,64.9,0.8,19.0,10.1,76,11,Urban,545
Beijing,2021-06-05,18,42.9,9.3,26.6,32.8,30.1,28,7,Urban,150
Delhi,2021-06-06,155,61.9,21.9,29.8,42.4,8.1,30,9,Urban,525
Mexico City,2021-06-07,449,24.4,89.9,21.7,42.2,35.3,91,8,Urban,1682
Delhi,2021-06-08,423,9.5,33.3,50.6,54.1,31.3,55,9,Suburban,1567
Beijing,2021-06-09,26,20.4,55.3,30.9,28.1,4.2,49,10,Suburban,1686
Cairo,2021-06-10,488,17.0,43.1,19.8,34.7,29.1,93,7,Urban,64
São Paulo,2021-06-11,182,2.6,25.2,51.2,34.3,25.0,44,4,Urban,737
Los Angeles,2021-06-12,67,42.8,45.8,35.1,39.8,2.2,52,7,Urban,1629
Beijing,2021-06-13,47,40.3,72.1,29.0,32.4,2.2,92,8,Urban,562
Mexico City,2021-06-14,145,26.2,40.1,21.8,40.1,-0.5,29,12,Suburban,697
Los Angeles,2021-06-15,173,42.1,42.2,17.4,38.3,21.9,77,9,Urban,116
Beijing,2021-06-16,318,44.9,83.2,46.8,31.9,10.7,67,10,Urban,1405
Mexico City,2021-06-17,54,58.6,40.0,12.0,38.2,1.6,82,9,Suburban,1925
Delhi,2021-06-18,255,39.6,51.4,45.2,24.1,28.1,72,14,Suburban,578
Delhi,2021-06-19,55,19.5,49.9,28.3,19.8,34.9,46,1,Urban,522
Beijing,2021-06-20,310,46.2,50.1,26.6,51.7,30.6,31,8,Urban,726
Delhi,2021-06-21,320,19.9,38.0,42.2,57.0,3.8,20,1,Urban,1134
Delhi,2021-06-22,343,40.2,102.4,32.1,45.5,15.2,26,5,Urban,229
London,2021-06-23,221,59.8,65.4,12.8,15.0,23.2,49,6,Urban,730
São Paulo,2021-06-24,211,38.7,87.9,35.1,46.8,-1.7,89,4,Urban,153
Mexico City,2021-06-25,136,45.9,25.7,30.9,49.6,4.0,67,9,Urban,890
London,2021-06-26,463,12.5,56.5,35.5,16.6,2.6,78,15,Urban,881
São Paulo,2021-06-27,477,55.3,69.5,21.3,23.4,30.6,74,7,Urban,1657
Delhi,2021-06-28,51,5.2,34.4,23.0,30.9,39.5,56,4,Suburban,784
Beijing,2021-06-29,485,61.1,52.9,19.9,34.9,-2.4,31,16,Urban,1252
Beijing,2021-06-30,276,66.3,56.4,32.4,49.6,28.4,94,8,Urban,1879
Delhi,2021-07-01,306,30.7,67.7,22.6,64.8,11.3,71,6,Urban,1551
Los Angeles,2021-07-02,337,28.2,57.7,24.2,53.6,12.2,25,8,Urban,1716
Beijing,2021-07-03,101,33.0,75.2,42.6,28.3,9.8,65,10,Urban,594
Beijing,2021-07-04,470,52.6,65.3,22.6,43.8,-0.5,26,13,Urban,372
Delhi,2021-07-05,465,11.5,7.4,32.6,46.3,15.3,53,8,Suburban,1974
Delhi,2021-07-06,204,31.9,80.5,31.5,35.4,9.1,59,13,Suburban,528
Tokyo,2021-07-07,183,40.2,35.0,44.4,40.9,-2.5,72,10,Urban,683
Delhi,2021-07-08,449,59.0,52.5,40.0,42.5,-3.8,30,15,Suburban,188
Delhi,2021-07-09,242,20.3,46.9,3.9,3.1,38.0,70,9,Urban,1218
Delhi,2021-07-10,135,44.0,48.2,38.7,50.9,21.7,90,7,Suburban,735
Beijing,2021-07-11,368,39.1,49.5,2.3,34.0,-3.6,76,1,Suburban,1131
Mexico City,2021-07-12,8,50.3,47.0,43.4,42.7,31.1,63,5,Urban,666
Beijing,2021-07-13,370,49.2,67.5,30.1,51.5,3.3,21,12,Urban,1004
Delhi,2021-07-14,329,25.5,29.8,37.8,18.9,31.1,47,12,Urban,1503
Delhi,2021-07-15,229,81.2,35.6,26.4,36.8,37.6,80,18,Rural,304
London,2021-07-16,275,57.8,58.7,26.2,8.7,17.3,63,11,Suburban,311
Mexico City,2021-07-17,269,18.7,24.0,19.8,62.1,21.2,39,4,Suburban,1709
Mexico City,2021-07-18,121,24.4,93.2,20.6,43.4,18.2,24,9,Urban,1660
Mexico City,2021-07-19,486,46.3,44.0,38.4,42.1,-1.5,58,9,Urban,279
Los Angeles,2021-07-20,250,27.9,79.5,12.4,36.9,8.1,51,8,Suburban,158
Delhi,2021-07-21,247,33.0,47.4,33.4,45.3,17.6,45,2,Urban,419
Beijing,2021-07-22,304,60.9,31.8,36.6,30.4,34.5,93,12,Urban,1093
Beijing,2021-07-23,353,52.3,53.7,35.2,34.4,17.4,65,14,Urban,1632
Beijing,2021-07-24,234,29.9,60.7,33.8,41.7,23.1,77,6,Urban,1357
London,2021-07-25,106,31.7,43.1,35.3,32.6,18.7,52,10,Urban,652
Beijing,2021-07-26,205,4.3,2.0,27.1,33.5,-4.1,22,0,Rural,1109
Los Angeles,2021-07-27,309,41.9,46.4,39.3,46.4,7.6,36,6,Suburban,1341
London,2021-07-28,123,3.0,47.2,41.1,59.6,7.4,88,1,Suburban,643
Beijing,2021-07-29,89,19.5,26.3,32.4,38.6,37.2,58,10,Suburban,469
Tokyo,2021-07-30,74,16.9,79.1,21.2,55.7,37.0,48,6,Urban,1135
Mexico City,2021-07-31,183,50.5,52.6,21.5,33.7,34.4,41,11,Urban,571
London,2021-08-01,390,40.1,71.3,37.3,34.9,-3.4,37,15,Urban,692
Beijing,2021-08-02,224,44.1,65.1,22.5,27.3,14.9,52,14,Urban,349
Beijing,2021-08-03,153,14.1,29.2,10.0,61.3,24.9,80,6,Suburban,123
Beijing,2021-08-04,335,54.5,24.5,27.1,36.8,21.1,75,14,Urban,1915
Delhi,2021-08-05,395,35.6,34.3,20.4,34.5,2.3,22,8,Rural,1303
Beijing,2021-08-06,40,16.1,60.6,35.4,45.3,13.4,79,7,Urban,642
Tokyo,2021-08-07,470,28.8,64.0,41.0,37.2,13.9,77,4,Urban,873
Mexico City,2021-08-08,50,61.5,83.2,27.8,47.4,13.1,60,12,Urban,975
Delhi,2021-08-09,361,24.0,55.8,25.0,52.8,36.2,82,14,Urban,1675
Beijing,2021-08-10,26,40.3,57.5,37.1,28.8,29.8,70,14,Suburban,1870
Delhi,2021-08-11,150,36.0,33.0,38.9,47.3,14.7,81,10,Rural,1300
Delhi,2021-08-12,190,24.8,14.7,43.2,46.2,11.9,68,6,Suburban,903
Tokyo,2021-08-13,98,43.6,61.3,28.0,44.5,-1.9,47,7,Urban,420
Beijing,2021-08-14,100,42.3,19.1,34.8,40.7,2.3,20,11,Urban,1314
Beijing,2021-08-15,181,33.2,67.3,28.7,44.5,21.3,68,13,Urban,860
Mexico City,2021-08-16,384,32.5,71.2,23.5,2.7,34.1,56,2,Urban,1017
Delhi,2021-08-17,245,20.4,59.4,19.0,38.6,11.0,39,11,Urban,1230
Delhi,2021-08-18,412,11.0,43.7,33.7,32.4,13.8,63,5,Urban,1686
Los Angeles,2021-08-19,404,47.8,42.6,24.9,35.4,20.8,90,12,Suburban,1029
Mexico City,2021-08-20,122,25.0,45.5,25.6,38.9,2.4,48,7,Urban,454
São Paulo,2021-08-21,223,42.1,86.1,51.7,61.0,13.8,38,10,Rural,877
Mexico City,2021-08-22,307,40.0,63.1,34.9,25.0,20.5,62,2,Suburban,1594
Beijing,2021-08-23,138,36.7,64.0,25.5,45.2,0.5,90,13,Urban,386
Los Angeles,2021-08-24,244,65.1,49.5,46.3,29.0,0.5,85,12,Urban,1385
Tokyo,2021-08-25,148,15.2,72.5,30.6,31.8,9.0,20,4,Rural,1000
Los Angeles,2021-08-26,100,31.2,21.2,28.9,51.5,7.8,86,5,Suburban,401
Cairo,2021-08-27,36,34.5,32.7,27.1,58.9,18.6,93,8,Urban,1085
Los Angeles,2021-08-28,318,43.1,48.9,30.5,35.7,34.3,82,10,Urban,1864
London,2021-08-29,240,33.2,53.9,30.9,44.5,20.9,70,9,Urban,1536
Delhi,2021-08-30,368,23.6,60.0,21.7,42.4,33.9,68,10,Suburban,1146
Los Angeles,2021-08-31,33,13.7,32.3,21.1,25.3,22.5,46,6,Suburban,1265
Beijing,2021-09-01,418,30.2,23.1,21.1,42.8,-0.5,90,7,Urban,1039
Mexico City,2021-09-02,478,16.8,24.7,39.2,49.4,33.2,60,5,Suburban,1059
Mexico City,2021-09-03,151,46.7,51.2,33.2,51.4,2.9,30,4,Urban,956
Cairo,2021-09-04,487,14.1,31.1,33.7,51.4,-2.7,50,13,Urban,909
São Paulo,2021-09-05,77,38.2,23.5,13.8,61.7,7.5,37,3,Urban,1556
Delhi,2021-09-06,265,58.1,29.0,15.5,39.6,1.1,61,9,Suburban,693
